id,name,address,latitude,longitude
56,Narayan Pharmacy,"Digha - Contai Road, Digha - Contai Rd, RamNagar, Saiyadpur, West Bengal, 721423, India",21.6764,87.5611
57,Star Medical,"Digha - Contai Road, Digha - Contai Rd, RamNagar, Saiyadpur, West Bengal, 721423, India",21.6764,87.5611
58,Sandhya Homoeo Hall,"Digha - Contai Road, Digha - Contai Rd, RamNagar, Saiyadpur, West Bengal, 721423, India",21.6764,87.5611
59,Ayurbedik Medical Hall,"Digha - Contai Road, Digha - Contai Rd, RamNagar, Saiyadpur, West Bengal, 721423, India",21.6764,87.5611
60,National Homeo Pharmacy,"Tally Academy, Opposite Of RamNagar Great Punjab Restaurant Near - RamNagar Bus Stand RamNagar, Dakshin Basulipat, RamNagar I, West Bengal, 721423, India",21.68221,87.56305
61,Jana Medical,"Digha - Contai Road, Digha - Contai Rd, RamNagar, Saiyadpur, West Bengal, 721423, India",21.6764,87.5611
62,Apollo Pharmacy,"Digha - Contai Road, Digha - Contai Rd, RamNagar, Saiyadpur, West Bengal, 721423, India",21.6764,87.5611
63,Kalika Medical Hall,"RamNagar II, Purba Medinipur District, West Bengal, 721423, India",21.683276,87.600906
64,Surendra Medicals,"LBG Pathology Centre, L.B.G Nursing Home, Digha Contai Road, Digha Mohona, RamNagar, RamNagar-I, Purba Medinipur, West Bengal, 721423, India",21.677822,87.561461
65,Charu Medical Hall,"KBJ Guest House, Church Of God, Fatepur, Digha - Contai Main Road, Digha, West Bengal, 721441, India",21.65436,87.53737
66,RadhaRani Medical Hall,"KBJ Guest House, Church Of God, Fatepur, Digha - Contai Main Road, Digha, West Bengal, 721441, India",21.65436,87.53737
67,Drug Point,"Balisai Club, Digha - Contai Rd, Balisai, West Bengal, 721423, India",21.67795,87.596
68,Apollo Pharmacy RamNagar,"Apollo Pharmacy RamNagar, Khatian No 137/1 JL No 205, Midnapore, RamNagar, RamNagar I, Talga Chhari, West Bengal, 721441, India",21.67446,87.55985
69,Roy Pharmacy,"Roy Pharmacy, Nayapatti Bazar Road, Nayapatti, AP Block, Sector V, Salt Lake, Kolkata, West Bengal, 700091, India",22.58187,88.4392
70,Neotia MediPlus OPD & Diagnostics Clinic,"Neotia MediPlus OPD & Diagnostics Clinic, Garia, Road, 168, Garia Main Rd, Laskarpur, Mahamaya Tala, Garia, Kolkata, West Bengal, 700153, India",22.45385,88.38755
71,MedPlus Dhakuria Nazir Bagan,"106, Sarat Ghosh Garden Rd, Dhakuria, Sarat Ghosh Garden, Haltu, Kolkata, West Bengal, 700078, India",22.5108,88.3815
72,Mediview Pharmacy,"Broad Street, Broad St, Ballygunge Place, Ballygunge, Kolkata, West Bengal, 700019, India",22.5292,88.3671
73,Apollo Pharmacy Picnic Garden,"Kolkata, West Bengal, 700039, India",22.526754,88.386273
74,Swasti Nursing Home,"Swasti Nursing Home, Belurmath, 6/1, Ghoses LN, Belur, Bally, Howrah, West Bengal, 711201, India",22.63601,88.35379
75,Sima Medico,"Kolkata, West Bengal, 700010, India",22.564874,88.397202
76,Ashraf Medical Hall,"Maruti Genuine Parts, 354, Grand Trunk Road, Salkia(north), 354, Grand Trunk Rd, Salkia, Howrah, West Bengal, 711106, India",22.59914,88.34101
77,Apollo Pharmacy Airport 1no. Gate,"Italgacha Road, Tarunsen Gupta Sarani, Italgacha Rd, Gorabazar, Dum Dum, Barrackpore, North 24 Parganas, West Bengal, 700079, India",22.643414,88.42969
78,Charnock Pharmacy,"Charnock Pharmacy, Charnock Hospital Pvt Ltd, Biswa Bangla Sarani FlyOver, Rajarhat Gopalpur, Bidhannagar, Kolkata, West Bengal, 700136, India",22.62572,88.43522
79,Medi Aid Plus,"Kolkata, West Bengal, 700048, India",22.60039,88.397718
80,Apollo Pharmacy Contai Super Market,"Apollo Pharmacy Contai Super Market, Contai Super Market Kumarpur, East Medinipur Opposite Contai, Super Market East, Damodar Pur, Kanthi, Midnapore, Contai, West Bengal, 721401, India",21.78238,87.74477
81,Deep Homoeo Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
82,Medical,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
83,New Boericke Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
84,Panda Medical Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
85,Shree Gopal Medicals,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
86,Homoeo House,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
87,Gopal Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
88,Dr Subhamoy Maity Sulav Homoeo Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
89,Maity Homoeo Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
90,The Medical Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
91,Maa Durga Drug House,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
92,Kali Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
93,Mokkhoda Medical Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
94,Ma Kamala Medical,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
95,Peoples Medical Hall,"Aaloey Phera, Damodar Pur, Kanthi, Contai, West Bengal, 721401, India",21.78066,87.7475
96,Pipils Medical Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
97,Pradhan Medical Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
98,Nanditya Homoeo Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
99,Patanjali Chilkitsalaya & Store,"Contaitown Rakhalchandra Vidyapith, SH 5, Padmapukuria, Contai, West Bengal, 721401, India",21.78114,87.73864
100,Sri Gobindo Medicine Suppliers,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
101,Surendra Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
102,Jagadish Medical Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
103,Pahari Ayurved Pharmacy,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
104,Paul Medical Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
105,Mayna Paul Medical Hall,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
106,Homeopathy Medicine Store,"Homeopathy Medicine Store, Trail2, Kanthi, Contai, West Bengal, 721401, India",21.77969,87.74911
107,Pramod Medicals,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
108,Sadhana Medicals,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
109,Medico Patient Care,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
110,Niramay Medical,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
111,Frank Ross Pharmacy Contai,"Kishor Sangha, Contai, Serpur Telengabarh, Contai - Rasolpur Road, Kanthi, Contai, West Bengal, 721401, India",21.78672,87.75593
